timestamp,price,position,period_start,period_end
2022-12-31 23:00:00+00:00,-3.61,1,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 00:00:00+00:00,-1.46,2,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 01:00:00+00:00,-1.52,3,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 02:00:00+00:00,-5.0,4,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 03:00:00+00:00,-4.6,5,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 04:00:00+00:00,-4.05,6,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 05:00:00+00:00,-3.6,7,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 06:00:00+00:00,0.0,8,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 09:00:00+00:00,0.99,11,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 10:00:00+00:00,0.58,12,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 11:00:00+00:00,0.04,13,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 12:00:00+00:00,0.0,14,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 13:00:00+00:00,0.85,15,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 14:00:00+00:00,23.53,16,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 15:00:00+00:00,36.54,17,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 16:00:00+00:00,46.03,18,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 17:00:00+00:00,99.9,19,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 18:00:00+00:00,54.95,20,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 19:00:00+00:00,62.0,21,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 20:00:00+00:00,52.93,22,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 21:00:00+00:00,45.96,23,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 22:00:00+00:00,35.0,24,2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00
2023-01-01 23:00:00+00:00,109.9,1,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 00:00:00+00:00,94.9,2,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 01:00:00+00:00,52.93,3,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 02:00:00+00:00,44.16,4,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 03:00:00+00:00,50.08,5,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 04:00:00+00:00,77.09,6,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 05:00:00+00:00,105.08,7,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 06:00:00+00:00,140.64,8,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 07:00:00+00:00,162.44,9,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 08:00:00+00:00,180.0,10,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 09:00:00+00:00,145.61,11,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 10:00:00+00:00,143.35,12,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 11:00:00+00:00,144.38,13,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 12:00:00+00:00,143.76,14,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 13:00:00+00:00,148.2,15,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 14:00:00+00:00,155.34,16,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 15:00:00+00:00,164.0,17,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 16:00:00+00:00,185.68,18,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 17:00:00+00:00,174.74,19,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 18:00:00+00:00,169.9,20,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 19:00:00+00:00,153.0,21,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 20:00:00+00:00,141.67,22,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 21:00:00+00:00,134.91,23,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 22:00:00+00:00,124.22,24,2023-01-01 23:00:00+00:00,2023-01-02 23:00:00+00:00
2023-01-02 23:00:00+00:00,130.01,1,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 00:00:00+00:00,120.0,2,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 01:00:00+00:00,118.76,3,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 02:00:00+00:00,115.0,4,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 03:00:00+00:00,113.63,5,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 04:00:00+00:00,116.27,6,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 05:00:00+00:00,138.92,7,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 06:00:00+00:00,159.92,8,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 07:00:00+00:00,169.17,9,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 08:00:00+00:00,171.18,10,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 09:00:00+00:00,168.57,11,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 10:00:00+00:00,169.49,12,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 11:00:00+00:00,164.5,13,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 12:00:00+00:00,160.91,14,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 13:00:00+00:00,163.06,15,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 14:00:00+00:00,166.79,16,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 15:00:00+00:00,166.57,17,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 16:00:00+00:00,170.82,18,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 17:00:00+00:00,168.95,19,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 18:00:00+00:00,160.99,20,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 19:00:00+00:00,149.62,21,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 20:00:00+00:00,130.63,22,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 21:00:00+00:00,114.42,23,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 22:00:00+00:00,92.48,24,2023-01-02 23:00:00+00:00,2023-01-03 23:00:00+00:00
2023-01-03 23:00:00+00:00,80.07,1,2023-01-03 23:00:00+00:00,2023-01-04 23:00:00+00:00
2023-01-04 00:00:00+00:00,68.44,2,2023-01-03 23:00:00+00:00,2023-01-04 23:00:00+00:00
2023-01-04 01:00:00+00:00,37.92,3,2023-01-03 23:00:00+00:00,2023-01-04 23:00:00+00:00
2023-01-04 02:00:00+00:00,0.0,4,2023-01-03 23:00:00+00:00,2023-01-04 23:00:00+00:00
